,lat,long,geometry
0,27.9534469,-82.4490929,POINT (-82.4490929 27.9534469)
1,27.953673,-82.4490565,POINT (-82.4490565 27.953673)
2,27.9538015,-82.4490324,POINT (-82.44903239999999 27.9538015)
3,27.95393,-82.4490029,POINT (-82.4490029 27.95393)
4,27.9540708,-82.4489596,POINT (-82.44895959999999 27.9540708)
5,27.954214,-82.4489042,POINT (-82.4489042 27.954214)
6,27.95432855,-82.44884175,POINT (-82.44884175 27.95432855)
7,27.9544431,-82.4487793,POINT (-82.4487793 27.9544431)
8,27.95455175,-82.4487025,POINT (-82.4487025 27.95455175)
9,27.9546604,-82.4486257,POINT (-82.44862569999999 27.9546604)
10,27.95474795,-82.44854745,POINT (-82.44854745000001 27.95474795)
11,27.9548355,-82.4484692,POINT (-82.44846920000001 27.9548355)
12,27.95491355,-82.4483822,POINT (-82.4483822 27.95491355)
13,27.9549916,-82.4482952,POINT (-82.4482952 27.9549916)
14,27.9550673,-82.44819430000001,POINT (-82.44819430000001 27.9550673)
15,27.955143,-82.4480934,POINT (-82.4480934 27.955143)
16,27.9552122,-82.44797435000001,POINT (-82.44797435000001 27.9552122)
17,27.9552814,-82.4478553,POINT (-82.4478553 27.9552814)
18,27.9553245,-82.44776435,POINT (-82.44776435 27.9553245)
19,27.9553676,-82.4476734,POINT (-82.4476734 27.9553676)
20,27.9554313,-82.4474941,POINT (-82.4474941 27.9554313)
21,27.95546255,-82.44739014999999,POINT (-82.44739014999999 27.95546255)
22,27.9554938,-82.4472862,POINT (-82.44728619999999 27.9554938)
23,27.9555266,-82.4471421,POINT (-82.44714209999999 27.9555266)
24,27.955551,-82.4470093,POINT (-82.4470093 27.955551)
25,27.9555638,-82.4468993,POINT (-82.4468993 27.9555638)
26,27.9555713,-82.4468049,POINT (-82.4468049 27.9555713)
27,27.9555776,-82.4467112,POINT (-82.4467112 27.9555776)
28,27.955578000000003,-82.44663155,POINT (-82.44663155000001 27.955578)
29,27.9555784,-82.4465519,POINT (-82.4465519 27.9555784)
30,27.95557604,-82.44644402,POINT (-82.44644402 27.95557604)
31,27.95557368,-82.44633614,POINT (-82.44633614 27.95557368)
32,27.95557132,-82.44622826,POINT (-82.44622826 27.95557132)
33,27.95556896,-82.44612038,POINT (-82.44612038 27.95556896)
34,27.9555666,-82.4460125,POINT (-82.44601249999999 27.9555666)
35,27.955564033333335,-82.44589541666666,POINT (-82.44589541666666 27.95556403333334)
36,27.955561466666666,-82.44577833333334,POINT (-82.44577833333334 27.95556146666667)
37,27.9555589,-82.44566125,POINT (-82.44566125 27.9555589)
38,27.955556333333334,-82.44554416666666,POINT (-82.44554416666666 27.95555633333333)
39,27.955553766666664,-82.44542708333334,POINT (-82.44542708333334 27.95555376666666)
40,27.9555512,-82.44531,POINT (-82.44531000000001 27.9555512)
41,27.955548755555554,-82.44519984444445,POINT (-82.44519984444445 27.95554875555555)
42,27.95554631111111,-82.4450896888889,POINT (-82.4450896888889 27.95554631111111)
